source_line,section,spec_text,section_status,evidence
49,0,    - local Windows instructions;,Partial acceptance,README.md; FINAL_QA_REPORT.md; KNOWN_LIMITATIONS.md
50,0,    - Docker production instructions;,Partial acceptance,README.md; FINAL_QA_REPORT.md; KNOWN_LIMITATIONS.md
51,0,    - backup/restore instructions;,Partial acceptance,README.md; FINAL_QA_REPORT.md; KNOWN_LIMITATIONS.md
52,0,    - Google integration setup guide;,Partial acceptance,README.md; FINAL_QA_REPORT.md; KNOWN_LIMITATIONS.md
53,0,    - deployment checklist;,Partial acceptance,README.md; FINAL_QA_REPORT.md; KNOWN_LIMITATIONS.md
54,0,    - architecture documentation;,Partial acceptance,README.md; FINAL_QA_REPORT.md; KNOWN_LIMITATIONS.md
55,0,    - final QA report;,Partial acceptance,README.md; FINAL_QA_REPORT.md; KNOWN_LIMITATIONS.md
56,0,    - known limitations report;,Partial acceptance,README.md; FINAL_QA_REPORT.md; KNOWN_LIMITATIONS.md
57,0,    - one clean standalone ZIP of the final project if your environment allows file packaging.,Partial acceptance,README.md; FINAL_QA_REPORT.md; KNOWN_LIMITATIONS.md
59,0,Do not report a feature as complete until its acceptance tests pass.,Partial acceptance,README.md; FINAL_QA_REPORT.md; KNOWN_LIMITATIONS.md
61,0,---,Partial acceptance,README.md; FINAL_QA_REPORT.md; KNOWN_LIMITATIONS.md
63,1,# 1. PROJECT GOAL,Core lifecycle implemented,backend/apps; frontend/src/App.tsx; tests/test_domain.py
65,1,Rebuild the existing **CreativeManager** module as a fully standalone Creative Operations platform.,Core lifecycle implemented,backend/apps; frontend/src/App.tsx; tests/test_domain.py
67,1,It must manage the complete creative lifecycle:,Core lifecycle implemented,backend/apps; frontend/src/App.tsx; tests/test_domain.py
69,1,```text,Core lifecycle implemented,backend/apps; frontend/src/App.tsx; tests/test_domain.py
70,1,Request,Core lifecycle implemented,backend/apps; frontend/src/App.tsx; tests/test_domain.py
71,1,  → Deliverables,Core lifecycle implemented,backend/apps; frontend/src/App.tsx; tests/test_domain.py
72,1,  → Assignment,Core lifecycle implemented,backend/apps; frontend/src/App.tsx; tests/test_domain.py
73,1,  → Production,Core lifecycle implemented,backend/apps; frontend/src/App.tsx; tests/test_domain.py
74,1,  → Creative,Core lifecycle implemented,backend/apps; frontend/src/App.tsx; tests/test_domain.py
75,1,  → Creative Versions,Core lifecycle implemented,backend/apps; frontend/src/App.tsx; tests/test_domain.py
76,1,  → Review / Feedback,Core lifecycle implemented,backend/apps; frontend/src/App.tsx; tests/test_domain.py
77,1,  → Approval,Core lifecycle implemented,backend/apps; frontend/src/App.tsx; tests/test_domain.py
78,1,  → File / Google Drive management,Core lifecycle implemented,backend/apps; frontend/src/App.tsx; tests/test_domain.py
79,1,  → Deployment / Publishing,Core lifecycle implemented,backend/apps; frontend/src/App.tsx; tests/test_domain.py
80,1,  → Performance,Core lifecycle implemented,backend/apps; frontend/src/App.tsx; tests/test_domain.py
81,1,  → Winner / Loser / Fatigue decisions,Core lifecycle implemented,backend/apps; frontend/src/App.tsx; tests/test_domain.py
82,1,  → Experiments,Core lifecycle implemented,backend/apps; frontend/src/App.tsx; tests/test_domain.py
83,1,  → Variants / Refreshes / Lineage,Core lifecycle implemented,backend/apps; frontend/src/App.tsx; tests/test_domain.py
84,1,  → Patterns / Evidence / Knowledge,Core lifecycle implemented,backend/apps; frontend/src/App.tsx; tests/test_domain.py
85,1,  → Automation,Core lifecycle implemented,backend/apps; frontend/src/App.tsx; tests/test_domain.py
86,1,```,Core lifecycle implemented,backend/apps; frontend/src/App.tsx; tests/test_domain.py
88,1,This is not merely a file library and not merely a task manager.,Core lifecycle implemented,backend/apps; frontend/src/App.tsx; tests/test_domain.py
90,1,The central business object is the **Creative** and its complete history.,Core lifecycle implemented,backend/apps; frontend/src/App.tsx; tests/test_domain.py
92,1,---,Core lifecycle implemented,backend/apps; frontend/src/App.tsx; tests/test_domain.py
94,2,# 2. IMPORTANT FINDINGS FROM THE REFERENCE MODULE,Static audit performed,LEGACY_AUDIT.md; legacy-inventory.json
96,2,The reference module is a PHP module that depends on an external Core Platform. The new application must remove that dependency entirely.,Static audit performed,LEGACY_AUDIT.md; legacy-inventory.json
98,2,The reference module contains approximately:,Static audit performed,LEGACY_AUDIT.md; legacy-inventory.json
100,2,- 25 controllers,Static audit performed,LEGACY_AUDIT.md; legacy-inventory.json
101,2,- 53 services,Static audit performed,LEGACY_AUDIT.md; legacy-inventory.json
102,2,- 20 models,Static audit performed,LEGACY_AUDIT.md; legacy-inventory.json
103,2,- 35 migrations,Static audit performed,LEGACY_AUDIT.md; legacy-inventory.json
104,2,- 42 views,Static audit performed,LEGACY_AUDIT.md; legacy-inventory.json
105,2,- Google Drive OAuth/sync/upload logic,Static audit performed,LEGACY_AUDIT.md; legacy-inventory.json
106,2,- YouTube resumable upload,Static audit performed,LEGACY_AUDIT.md; legacy-inventory.json
107,2,- advertising connections and performance sync,Static audit performed,LEGACY_AUDIT.md; legacy-inventory.json
108,2,- Meta publishing workflow,Static audit performed,LEGACY_AUDIT.md; legacy-inventory.json
109,2,- experiments,Static audit performed,LEGACY_AUDIT.md; legacy-inventory.json
110,2,- automation,Static audit performed,LEGACY_AUDIT.md; legacy-inventory.json
111,2,- creative lineage,Static audit performed,LEGACY_AUDIT.md; legacy-inventory.json
112,2,- clips/content indexing,Static audit performed,LEGACY_AUDIT.md; legacy-inventory.json
113,2,- context/knowledge management,Static audit performed,LEGACY_AUDIT.md; legacy-inventory.json
114,2,- workspaces and brand access,Static audit performed,LEGACY_AUDIT.md; legacy-inventory.json
115,2,- AR/FR/EN translations,Static audit performed,LEGACY_AUDIT.md; legacy-inventory.json
117,2,"The reference module should be treated as a **behavioral and domain reference**, not as code to port line-for-line.",Static audit performed,LEGACY_AUDIT.md; legacy-inventory.json
119,2,## Known source defects that MUST NOT be migrated,Static audit performed,LEGACY_AUDIT.md; legacy-inventory.json
121,2,"At minimum, account for these verified problems while analyzing the legacy source:",Static audit performed,LEGACY_AUDIT.md; legacy-inventory.json
123,2,- `Services/PublishingService.php` contains a PHP syntax error around destination URL validation.,Static audit performed,LEGACY_AUDIT.md; legacy-inventory.json
124,2,- `Resources/views/library/evidence_assistant.php` contains a PHP control-flow syntax error.,Static audit performed,LEGACY_AUDIT.md; legacy-inventory.json
125,2,- `Tools/import_legacy_csv.php` refers to a non-existent creative version status `in_review`.,Static audit performed,LEGACY_AUDIT.md; legacy-inventory.json
126,2,- The same legacy importer has a SQL placeholder/value mismatch around `cm_creative_versions`.,Static audit performed,LEGACY_AUDIT.md; legacy-inventory.json
127,2,- The legacy importer appears stale relative to workspace scoping.,Static audit performed,LEGACY_AUDIT.md; legacy-inventory.json
128,2,- translation key `common.save` is used but missing.,Static audit performed,LEGACY_AUDIT.md; legacy-inventory.json
129,2,- old documentation references tests that are not present in the supplied ZIP.,Static audit performed,LEGACY_AUDIT.md; legacy-inventory.json
130,2,- old legacy JS/CSS files may remain but are not all active.,Static audit performed,LEGACY_AUDIT.md; legacy-inventory.json
132,2,Do not reproduce these defects.,Static audit performed,LEGACY_AUDIT.md; legacy-inventory.json
134,2,---,Static audit performed,LEGACY_AUDIT.md; legacy-inventory.json
136,3,# 3. REQUIRED TECHNOLOGY STACK,Implemented,backend/requirements.txt; frontend/package-lock.json
138,3,## Backend,Implemented,backend/requirements.txt; frontend/package-lock.json
140,3,Use:,Implemented,backend/requirements.txt; frontend/package-lock.json
142,3,- Python 3.13 recommended.,Implemented,backend/requirements.txt; frontend/package-lock.json
143,3,"- **Django 5.2 LTS**, using the latest released 5.2 security/patch version available at installation time.",Implemented,backend/requirements.txt; frontend/package-lock.json
144,3,- Django REST Framework.,Implemented,backend/requirements.txt; frontend/package-lock.json
145,3,- SQLite as the requested primary database for this release.,Implemented,backend/requirements.txt; frontend/package-lock.json
146,3,- Django ORM only for normal application access; no application feature should depend on raw SQLite-only SQL unless isolated behind a documented adapter.,Implemented,backend/requirements.txt; frontend/package-lock.json
147,3,- `django-filter` for safe filter APIs where appropriate.,Implemented,backend/requirements.txt; frontend/package-lock.json
148,3,- `Pillow` for image metadata/thumbnail operations where needed.,Implemented,backend/requirements.txt; frontend/package-lock.json
149,3,- Google official Python client libraries where practical.,Implemented,backend/requirements.txt; frontend/package-lock.json
150,3,- `httpx` or `requests` for provider APIs where an official supported client is not appropriate.,Implemented,backend/requirements.txt; frontend/package-lock.json
151,3,- cryptography library for encrypted-at-rest integration credentials.,Implemented,backend/requirements.txt; frontend/package-lock.json
152,3,- pytest + pytest-django for testing.,Implemented,backend/requirements.txt; frontend/package-lock.json
154,3,### Database portability requirement,Implemented,backend/requirements.txt; frontend/package-lock.json
156,3,"SQLite is mandatory now, but design the ORM and domain so that PostgreSQL can replace SQLite later without rewriting business logic.",Implemented,backend/requirements.txt; frontend/package-lock.json
158,3,Avoid SQLite-specific assumptions in domain services.,Implemented,backend/requirements.txt; frontend/package-lock.json
160,3,Use UUID primary keys for externally visible business records where practical.,Implemented,backend/requirements.txt; frontend/package-lock.json
162,3,"Use database constraints, unique constraints, indexes, and application-level validation intentionally.",Implemented,backend/requirements.txt; frontend/package-lock.json
164,3,## Frontend,Implemented,backend/requirements.txt; frontend/package-lock.json
166,3,Use:,Implemented,backend/requirements.txt; frontend/package-lock.json
168,3,- React 19.x (current stable major; use the latest compatible stable release at implementation time).,Implemented,backend/requirements.txt; frontend/package-lock.json
169,3,"- TypeScript, strict mode.",Implemented,backend/requirements.txt; frontend/package-lock.json
170,3,- Vite 8.x/current stable compatible Vite.,Implemented,backend/requirements.txt; frontend/package-lock.json
171,3,- React Router.,Implemented,backend/requirements.txt; frontend/package-lock.json
172,3,- TanStack Query for server state.,Implemented,backend/requirements.txt; frontend/package-lock.json
173,3,- React Hook Form + schema validation (Zod or equivalent).,Implemented,backend/requirements.txt; frontend/package-lock.json
174,3,- Tailwind CSS 4.x.,Implemented,backend/requirements.txt; frontend/package-lock.json
175,3,- Accessible headless primitives where needed; avoid unnecessarily heavy UI frameworks.,Implemented,backend/requirements.txt; frontend/package-lock.json
176,3,- Vitest + React Testing Library.,Implemented,backend/requirements.txt; frontend/package-lock.json
177,3,- Playwright for high-value end-to-end journeys.,Implemented,backend/requirements.txt; frontend/package-lock.json
179,3,## Architecture,Implemented,backend/requirements.txt; frontend/package-lock.json
181,3,Use a monorepo:,Implemented,backend/requirements.txt; frontend/package-lock.json
183,3,```text,Implemented,backend/requirements.txt; frontend/package-lock.json
184,3,creative-manager/,Implemented,backend/requirements.txt; frontend/package-lock.json
185,3,├─ backend/,Implemented,backend/requirements.txt; frontend/package-lock.json
186,3,├─ frontend/,Implemented,backend/requirements.txt; frontend/package-lock.json
187,3,├─ docs/,Implemented,backend/requirements.txt; frontend/package-lock.json
188,3,├─ ops/,Implemented,backend/requirements.txt; frontend/package-lock.json
189,3,├─ scripts/,Implemented,backend/requirements.txt; frontend/package-lock.json
190,3,├─ .env.example,Implemented,backend/requirements.txt; frontend/package-lock.json
191,3,├─ docker-compose.yml,Implemented,backend/requirements.txt; frontend/package-lock.json
192,3,├─ README.md,Implemented,backend/requirements.txt; frontend/package-lock.json
193,3,└─ Makefile or equivalent cross-platform task documentation,Implemented,backend/requirements.txt; frontend/package-lock.json
194,3,```,Implemented,backend/requirements.txt; frontend/package-lock.json
196,3,---,Implemented,backend/requirements.txt; frontend/package-lock.json
198,4,# 4. STANDALONE PRODUCT ARCHITECTURE,Implemented,backend/apps; ARCHITECTURE.md
200,4,Split Django into bounded apps.,Implemented,backend/apps; ARCHITECTURE.md
202,4,Recommended structure:,Implemented,backend/apps; ARCHITECTURE.md
204,4,```text,Implemented,backend/apps; ARCHITECTURE.md
205,4,backend/,Implemented,backend/apps; ARCHITECTURE.md
206,4,├─ config/,Implemented,backend/apps; ARCHITECTURE.md
207,4,├─ apps/,Implemented,backend/apps; ARCHITECTURE.md
208,4,│  ├─ accounts/,Implemented,backend/apps; ARCHITECTURE.md
209,4,│  ├─ workspaces/,Implemented,backend/apps; ARCHITECTURE.md
210,4,│  ├─ catalog/,Implemented,backend/apps; ARCHITECTURE.md
211,4,│  ├─ requests_app/,Implemented,backend/apps; ARCHITECTURE.md
212,4,│  ├─ creatives/,Implemented,backend/apps; ARCHITECTURE.md
213,4,│  ├─ storage/,Implemented,backend/apps; ARCHITECTURE.md
214,4,│  ├─ integrations/,Implemented,backend/apps; ARCHITECTURE.md
215,4,│  ├─ performance/,Implemented,backend/apps; ARCHITECTURE.md
216,4,│  ├─ experiments/,Implemented,backend/apps; ARCHITECTURE.md
217,4,│  ├─ automations/,Implemented,backend/apps; ARCHITECTURE.md
218,4,│  ├─ context_hub/,Implemented,backend/apps; ARCHITECTURE.md
219,4,│  ├─ notifications/,Implemented,backend/apps; ARCHITECTURE.md
220,4,│  ├─ audit/,Implemented,backend/apps; ARCHITECTURE.md
221,4,│  └─ common/,Implemented,backend/apps; ARCHITECTURE.md
222,4,└─ manage.py,Implemented,backend/apps; ARCHITECTURE.md
223,4,```,Implemented,backend/apps; ARCHITECTURE.md
225,4,Do not create one giant `creative_manager` Django app.,Implemented,backend/apps; ARCHITECTURE.md
227,4,"Keep business logic in services/domain modules rather than placing complex logic in views, serializers, signals, or model `save()` methods.",Implemented,backend/apps; ARCHITECTURE.md
229,4,Prefer explicit service calls over hidden signal chains.,Implemented,backend/apps; ARCHITECTURE.md
231,4,---,Implemented,backend/apps; ARCHITECTURE.md
233,5,"# 5. AUTHENTICATION, USERS, PROFILES, ROLES",Implemented core; advanced UI partial,accounts; workspaces/policies.py; tests/test_api.py
235,5,The new application is a real multi-user platform.,Implemented core; advanced UI partial,accounts; workspaces/policies.py; tests/test_api.py
237,5,## User,Implemented core; advanced UI partial,accounts; workspaces/policies.py; tests/test_api.py
239,5,Implement a custom Django user model from day one.,Implemented core; advanced UI partial,accounts; workspaces/policies.py; tests/test_api.py
241,5,Recommended fields:,Implemented core; advanced UI partial,accounts; workspaces/policies.py; tests/test_api.py
243,5,- id UUID,Implemented core; advanced UI partial,accounts; workspaces/policies.py; tests/test_api.py
244,5,"- email unique, primary login identity",Implemented core; advanced UI partial,accounts; workspaces/policies.py; tests/test_api.py
245,5,- username/display handle optional,Implemented core; advanced UI partial,accounts; workspaces/policies.py; tests/test_api.py
246,5,- first_name,Implemented core; advanced UI partial,accounts; workspaces/policies.py; tests/test_api.py
247,5,- last_name,Implemented core; advanced UI partial,accounts; workspaces/policies.py; tests/test_api.py
248,5,- display_name,Implemented core; advanced UI partial,accounts; workspaces/policies.py; tests/test_api.py
249,5,- is_active,Implemented core; advanced UI partial,accounts; workspaces/policies.py; tests/test_api.py
250,5,- is_staff,Implemented core; advanced UI partial,accounts; workspaces/policies.py; tests/test_api.py
251,5,- is_superuser,Implemented core; advanced UI partial,accounts; workspaces/policies.py; tests/test_api.py
252,5,- date_joined,Implemented core; advanced UI partial,accounts; workspaces/policies.py; tests/test_api.py
253,5,- last_login,Implemented core; advanced UI partial,accounts; workspaces/policies.py; tests/test_api.py
254,5,- last_seen_at,Implemented core; advanced UI partial,accounts; workspaces/policies.py; tests/test_api.py
256,5,## UserProfile,Implemented core; advanced UI partial,accounts; workspaces/policies.py; tests/test_api.py
258,5,Fields should include:,Implemented core; advanced UI partial,accounts; workspaces/policies.py; tests/test_api.py
260,5,- avatar,Implemented core; advanced UI partial,accounts; workspaces/policies.py; tests/test_api.py
261,5,- job_title,Implemented core; advanced UI partial,accounts; workspaces/policies.py; tests/test_api.py
262,5,- phone optional,Implemented core; advanced UI partial,accounts; workspaces/policies.py; tests/test_api.py
263,5,"- preferred_language: `ar`, `en`, `fr`",Implemented core; advanced UI partial,accounts; workspaces/policies.py; tests/test_api.py
264,5,- timezone,Implemented core; advanced UI partial,accounts; workspaces/policies.py; tests/test_api.py
265,5,- locale,Implemented core; advanced UI partial,accounts; workspaces/policies.py; tests/test_api.py
266,5,- notification preferences,Implemented core; advanced UI partial,accounts; workspaces/policies.py; tests/test_api.py
267,5,- theme preference optional,Implemented core; advanced UI partial,accounts; workspaces/policies.py; tests/test_api.py
268,5,- compact/mobile UI preference if useful,Implemented core; advanced UI partial,accounts; workspaces/policies.py; tests/test_api.py
270,5,## Authentication model,Implemented core; advanced UI partial,accounts; workspaces/policies.py; tests/test_api.py
272,5,"For the React SPA served from the same deployment/domain, prefer secure Django session authentication:",Implemented core; advanced UI partial,accounts; workspaces/policies.py; tests/test_api.py
274,5,- HttpOnly session cookie,Implemented core; advanced UI partial,accounts; workspaces/policies.py; tests/test_api.py
275,5,- CSRF protection,Implemented core; advanced UI partial,accounts; workspaces/policies.py; tests/test_api.py
276,5,- secure cookies in production,Implemented core; advanced UI partial,accounts; workspaces/policies.py; tests/test_api.py
277,5,- SameSite configured correctly,Implemented core; advanced UI partial,accounts; workspaces/policies.py; tests/test_api.py
278,5,- no access token in localStorage,Implemented core; advanced UI partial,accounts; workspaces/policies.py; tests/test_api.py
280,5,Provide:,Implemented core; advanced UI partial,accounts; workspaces/policies.py; tests/test_api.py
282,5,- login,Implemented core; advanced UI partial,accounts; workspaces/policies.py; tests/test_api.py
283,5,- logout,Implemented core; advanced UI partial,accounts; workspaces/policies.py; tests/test_api.py
284,5,- current-user session endpoint,Implemented core; advanced UI partial,accounts; workspaces/policies.py; tests/test_api.py
285,5,- password change,Implemented core; advanced UI partial,accounts; workspaces/policies.py; tests/test_api.py
286,5,- password reset flow,Implemented core; advanced UI partial,accounts; workspaces/policies.py; tests/test_api.py
287,5,- admin-created/invited user flow,Implemented core; advanced UI partial,accounts; workspaces/policies.py; tests/test_api.py
288,5,- profile editing,Implemented core; advanced UI partial,accounts; workspaces/policies.py; tests/test_api.py
289,5,- active/deactivated user state,Implemented core; advanced UI partial,accounts; workspaces/policies.py; tests/test_api.py
291,5,Do not hard-delete a user who owns business history. Default to deactivation and preserve attribution.,Implemented core; advanced UI partial,accounts; workspaces/policies.py; tests/test_api.py
293,5,## Roles,Implemented core; advanced UI partial,accounts; workspaces/policies.py; tests/test_api.py
295,5,Support these roles:,Implemented core; advanced UI partial,accounts; workspaces/policies.py; tests/test_api.py
297,5,1. Platform Admin,Implemented core; advanced UI partial,accounts; workspaces/policies.py; tests/test_api.py
298,5,2. Manager,Implemented core; advanced UI partial,accounts; workspaces/policies.py; tests/test_api.py
299,5,3. Media Buyer,Implemented core; advanced UI partial,accounts; workspaces/policies.py; tests/test_api.py
300,5,4. Editor,Implemented core; advanced UI partial,accounts; workspaces/policies.py; tests/test_api.py
301,5,5. Reviewer,Implemented core; advanced UI partial,accounts; workspaces/policies.py; tests/test_api.py
302,5,6. Requester,Implemented core; advanced UI partial,accounts; workspaces/policies.py; tests/test_api.py
303,5,7. Viewer,Implemented core; advanced UI partial,accounts; workspaces/policies.py; tests/test_api.py
305,5,A user can have a different role in different workspaces.,Implemented core; advanced UI partial,accounts; workspaces/policies.py; tests/test_api.py
307,5,"Roles must be membership-based, not a single global `role` column.",Implemented core; advanced UI partial,accounts; workspaces/policies.py; tests/test_api.py
309,5,## Granular permissions,Implemented core; advanced UI partial,accounts; workspaces/policies.py; tests/test_api.py
311,5,Preserve/evolve the source permissions:,Implemented core; advanced UI partial,accounts; workspaces/policies.py; tests/test_api.py
313,5,- create_requests,Implemented core; advanced UI partial,accounts; workspaces/policies.py; tests/test_api.py
314,5,- assign_editors,Implemented core; advanced UI partial,accounts; workspaces/policies.py; tests/test_api.py
315,5,- submit_version,Implemented core; advanced UI partial,accounts; workspaces/policies.py; tests/test_api.py
316,5,- review_version,Implemented core; advanced UI partial,accounts; workspaces/policies.py; tests/test_api.py
317,5,- approve_version,Implemented core; advanced UI partial,accounts; workspaces/policies.py; tests/test_api.py
318,5,- create_products,Implemented core; advanced UI partial,accounts; workspaces/policies.py; tests/test_api.py
319,5,- create_campaigns,Implemented core; advanced UI partial,accounts; workspaces/policies.py; tests/test_api.py
320,5,- manage_projects,Implemented core; advanced UI partial,accounts; workspaces/policies.py; tests/test_api.py
321,5,- view_analytics,Implemented core; advanced UI partial,accounts; workspaces/policies.py; tests/test_api.py
322,5,- view_creatives,Implemented core; advanced UI partial,accounts; workspaces/policies.py; tests/test_api.py
323,5,- edit_creatives,Implemented core; advanced UI partial,accounts; workspaces/policies.py; tests/test_api.py
324,5,- comment_creatives,Implemented core; advanced UI partial,accounts; workspaces/policies.py; tests/test_api.py
325,5,- mark_winner,Implemented core; advanced UI partial,accounts; workspaces/policies.py; tests/test_api.py
326,5,- manage_performance,Implemented core; advanced UI partial,accounts; workspaces/policies.py; tests/test_api.py
327,5,- manage_deployments,Implemented core; advanced UI partial,accounts; workspaces/policies.py; tests/test_api.py
328,5,- manage_experiments,Implemented core; advanced UI partial,accounts; workspaces/policies.py; tests/test_api.py
329,5,- manage_automations,Implemented core; advanced UI partial,accounts; workspaces/policies.py; tests/test_api.py
330,5,- publish_ads,Implemented core; advanced UI partial,accounts; workspaces/policies.py; tests/test_api.py
331,5,- manage_lineage,Implemented core; advanced UI partial,accounts; workspaces/policies.py; tests/test_api.py
332,5,- manage_boards,Implemented core; advanced UI partial,accounts; workspaces/policies.py; tests/test_api.py
333,5,- manage_taxonomy,Implemented core; advanced UI partial,accounts; workspaces/policies.py; tests/test_api.py
334,5,- manage_naming,Implemented core; advanced UI partial,accounts; workspaces/policies.py; tests/test_api.py
335,5,- manage_workspaces,Implemented core; advanced UI partial,accounts; workspaces/policies.py; tests/test_api.py
336,5,- manage_clips,Implemented core; advanced UI partial,accounts; workspaces/policies.py; tests/test_api.py
337,5,- manage_storage_connections,Implemented core; advanced UI partial,accounts; workspaces/policies.py; tests/test_api.py
338,5,- view_storage_connections,Implemented core; advanced UI partial,accounts; workspaces/policies.py; tests/test_api.py
339,5,- manage_content_index,Implemented core; advanced UI partial,accounts; workspaces/policies.py; tests/test_api.py
340,5,- manage_source_materials,Implemented core; advanced UI partial,accounts; workspaces/policies.py; tests/test_api.py
341,5,- manage_context,Implemented core; advanced UI partial,accounts; workspaces/policies.py; tests/test_api.py
342,5,- manage_users,Implemented core; advanced UI partial,accounts; workspaces/policies.py; tests/test_api.py
